	mp-3t	mpi-3t	mpi-2t	mp-2t	mp-4t	mpi-4t
0	16.18572220799979	14.52113902696874	15.80714945192449	18.42279349593446	13.58711822400801	11.1848680729745
1	15.53604796295986	13.46011163294315	15.83049742504954	18.13683685101569	13.7738406539429	11.59713406302035
2	16.14219441602472	13.17446463508531	15.6467283180682	18.01476858905517	14.04204127495177	11.06114739796612
3	15.56237055000383	12.95408555492759	15.70987091993447	17.92267039301805	13.66992106707767	10.688927498064
4	16.0678809779929	13.64103520789649	15.77957637491636	18.0123822420137	14.27076128392946	10.77548056701198
5	15.83158901892602	13.12936280795839	15.99193845898844	17.92431035300251	13.58112344495021	11.03852509404533
6	15.1938143169973	13.21699630504008	15.63103443803266	17.88625053397845	13.56640768796206	11.27472549001686
7	15.69819544197526	13.11907189199701	16.41275221202523	18.04330858495086	13.66214864200447	10.93976142804604
8	16.05589371093083	13.60000626300462	16.40170543605927	17.86424312007148	13.51576812099665	10.88831439404748
9	15.36821465496905	13.12336112104822	15.74173197499476	17.94161394191906	13.5042080959538	10.78383477195166
