	mpi-4t	mp-2t	mpi-3t	mp-3t	mpi-2t	mp-4t
0	10,73410687001888	19,0169583898969	13,16061372298282	15,46685561793856	15,83314444997814	13,38549504894763
1	10,70768231502734	17,85303640493657	13,54901322408114	15,3118877899833	15,69430486601777	13,39622991101351
2	11,89161531894933	18,23949726705905	13,51186847698409	15,25586768402718	15,7028476750711	14,22077249607537
3	10,93767024297267	18,06491828104481	13,58978140400723	15,10450044309255	15,6953332379926	13,47957339196
4	10,7738970790524	17,96272113500163	13,77473469695542	15,23861681600101	15,64058184099849	13,68489188805688
5	10,80033775093034	17,87240471004043	13,73007603595033	14,93140037299599	15,60890368302353	13,8969520679675
6	11,2740220669657	17,83355286601	13,74203039507847	14,72942115494516	15,75028266303707	13,86185484100133
7	11,38391907408368	18,08539602602832	12,88873501005583	15,11252818198409	16,84314375999384	13,26893009501509
8	10,73270189308096	17,87981579801999	13,66542950598523	15,49017893697601	15,65706758992746	13,24159090896137
9	10,8892068809364	17,94829549896531	13,38251274707727	15,37819802796002	15,70216830505524	13,35270775295794
